,TaskTypeID,SubTaskTypeID,AppointmentStatus,LanguageID,ForcedAppointment,SameDayAsApplied,LobbyBureauID,DayNumberOfWeek,DayNumberOfMonth,AppHour,Attempts,Reschedules,NoShows
0,162,209,0,1,0,0.0,2,2.0,28.0,8,0.0,1.0,2.0
1,162,210,1,1,0,0.0,1,1.0,26.0,10,1.0,0.0,0.0
2,162,210,1,1,0,0.0,3,2.0,12.0,9,0.0,0.0,0.0
3,162,209,1,8,0,0.0,3,2.0,27.0,14,0.0,0.0,0.0
5,162,209,1,1,0,0.0,7,3.0,28.0,9,0.0,0.0,0.0
6,162,209,1,1,0,0.0,7,2.0,10.0,9,0.0,0.0,0.0
7,162,210,1,1,0,0.0,2,3.0,12.0,14,1.0,0.0,1.0
8,162,209,1,1,0,0.0,8,3.0,19.0,14,0.0,0.0,0.0
12,162,210,1,1,0,0.0,2,3.0,1.0,13,1.0,0.0,0.0
13,162,209,1,1,0,0.0,3,1.0,10.0,8,0.0,0.0,0.0
14,162,209,1,1,0,0.0,4,5.0,7.0,13,0.0,0.0,0.0
15,162,209,1,7,0,0.0,1,5.0,31.0,8,0.0,0.0,0.0
16,162,210,1,17,0,0.0,4,2.0,17.0,14,0.0,1.0,0.0
17,162,210,1,1,0,0.0,2,3.0,22.0,14,1.0,0.0,0.0
18,162,209,1,1,0,0.0,4,2.0,18.0,8,0.0,0.0,0.0
19,162,210,1,1,0,0.0,2,1.0,18.0,14,0.0,0.0,0.0
21,162,209,1,1,0,1.0,4,2.0,23.0,13,0.0,0.0,0.0
22,162,209,0,1,0,0.0,1,1.0,13.0,14,0.0,0.0,1.0
24,162,209,0,1,0,0.0,6,4.0,27.0,8,0.0,0.0,1.0
25,162,210,1,1,0,0.0,2,2.0,31.0,14,1.0,1.0,0.0
26,162,210,1,1,0,0.0,2,1.0,17.0,10,1.0,0.0,0.0
27,162,209,1,1,0,0.0,4,3.0,27.0,11,0.0,0.0,0.0
28,162,209,0,1,0,0.0,1,5.0,15.0,10,0.0,1.0,2.0
29,162,210,1,1,0,0.0,6,3.0,27.0,13,0.0,0.0,0.0
31,162,209,1,1,0,0.0,1,4.0,6.0,8,0.0,0.0,0.0
32,162,210,0,1,0,0.0,2,2.0,2.0,8,2.0,0.0,1.0
33,162,209,0,1,0,0.0,4,5.0,31.0,9,0.0,0.0,1.0
34,162,209,1,1,0,0.0,2,3.0,5.0,14,0.0,0.0,0.0
35,162,209,1,1,1,0.0,7,5.0,3.0,8,0.0,0.0,0.0
36,162,210,1,8,0,0.0,7,2.0,25.0,11,1.0,0.0,0.0
37,162,210,1,1,0,0.0,2,5.0,27.0,8,1.0,0.0,0.0
38,162,210,1,1,0,0.0,2,1.0,1.0,8,1.0,0.0,0.0
39,162,210,1,5,0,0.0,2,5.0,10.0,13,2.0,0.0,0.0
40,162,210,1,1,0,0.0,2,2.0,19.0,7,0.0,1.0,0.0
42,162,209,1,1,0,0.0,7,3.0,10.0,9,0.0,1.0,1.0
43,162,209,1,1,0,1.0,2,3.0,25.0,14,0.0,0.0,0.0
44,162,209,0,1,0,0.0,2,1.0,2.0,14,0.0,0.0,1.0
46,162,209,1,1,0,0.0,4,2.0,19.0,13,0.0,0.0,0.0
47,162,209,0,17,0,0.0,6,3.0,21.0,14,0.0,0.0,1.0
48,162,209,1,1,0,0.0,1,4.0,8.0,9,0.0,2.0,1.0
49,162,210,0,1,0,0.0,2,2.0,17.0,13,0.0,0.0,1.0
50,162,209,1,1,0,0.0,1,3.0,3.0,8,0.0,0.0,0.0
51,162,209,1,1,0,0.0,1,1.0,11.0,15,0.0,0.0,0.0
53,162,209,1,1,0,0.0,4,5.0,21.0,9,0.0,2.0,1.0
56,162,209,1,1,0,0.0,6,1.0,29.0,13,0.0,0.0,0.0
59,162,209,1,1,0,0.0,1,4.0,8.0,12,0.0,0.0,0.0
60,162,209,1,1,0,0.0,1,1.0,27.0,14,0.0,0.0,0.0
61,162,209,0,1,0,0.0,4,5.0,21.0,14,0.0,0.0,1.0
63,162,209,1,1,0,0.0,4,4.0,13.0,13,0.0,0.0,0.0
64,162,209,1,1,0,0.0,1,4.0,28.0,10,0.0,0.0,0.0
65,162,209,1,1,0,0.0,5,1.0,9.0,8,0.0,0.0,0.0
69,162,209,0,1,0,0.0,1,2.0,30.0,14,0.0,0.0,1.0
70,162,209,1,1,0,0.0,7,5.0,2.0,8,0.0,0.0,0.0
71,162,209,1,1,0,0.0,1,2.0,27.0,10,0.0,0.0,0.0
72,162,209,1,1,0,0.0,3,2.0,21.0,8,0.0,0.0,0.0
73,162,209,1,1,0,0.0,1,1.0,18.0,9,0.0,0.0,0.0
74,162,210,0,1,0,0.0,2,3.0,5.0,15,2.0,0.0,1.0
75,162,210,1,8,0,0.0,6,2.0,13.0,8,1.0,0.0,0.0
76,162,210,1,1,0,0.0,2,4.0,12.0,15,0.0,0.0,0.0
77,162,209,0,1,0,0.0,6,5.0,13.0,8,0.0,0.0,1.0
79,162,209,1,1,0,0.0,1,1.0,9.0,14,0.0,0.0,0.0
80,162,209,1,1,0,0.0,1,5.0,10.0,8,0.0,0.0,0.0
83,162,209,0,10,0,0.0,5,4.0,30.0,9,0.0,0.0,1.0
84,162,209,0,8,0,0.0,3,3.0,3.0,11,0.0,0.0,1.0
85,162,210,1,1,0,0.0,2,5.0,7.0,14,1.0,0.0,0.0
86,162,209,0,1,0,0.0,1,4.0,6.0,13,0.0,0.0,1.0
87,162,210,0,1,0,0.0,3,1.0,24.0,14,2.0,0.0,1.0
88,162,210,1,1,0,0.0,2,1.0,18.0,13,0.0,0.0,0.0
89,162,209,0,1,0,0.0,3,3.0,3.0,13,0.0,0.0,1.0
92,162,209,1,1,0,0.0,7,3.0,7.0,13,0.0,0.0,0.0
93,162,210,1,1,0,0.0,2,5.0,6.0,8,0.0,0.0,0.0
94,162,210,1,1,0,0.0,6,2.0,4.0,9,1.0,0.0,0.0
96,162,209,1,1,0,0.0,1,1.0,17.0,10,0.0,0.0,0.0
97,162,209,1,1,0,0.0,7,5.0,24.0,14,0.0,1.0,1.0
98,162,209,1,1,0,0.0,1,2.0,27.0,10,0.0,0.0,0.0
100,162,210,1,6,0,0.0,7,2.0,17.0,14,0.0,0.0,0.0
101,162,210,1,1,0,0.0,2,5.0,10.0,8,1.0,0.0,1.0
